,Module,Title,Prereq,Preclu
0,ACC1002,Financial Accounting,,Students who have passed FNA1002 are not allowed to take ACC1002.
1,ACC1006,Accounting Information Systems,FNA1002 or ACC1002,Students who have passed FNA1006 are not allowed to take ACC1006.
2,ACC1701,Accounting for Decision Makers,,ACC1002; ACC1002X
3,ACC2002,Managerial Accounting,Students must have completed BK1003 or BZ1002 or BH1002 or FNA1002 or FNA1002X or FNA1002E or ACC1002 or ACC1002X or BH1002E or CS1304 or EC3212 or EG1422 before they are allowed to take ACC2002.,BH2002 or BZ3102 or BK2001 or FNA2002 or IE4242
4,ACC3601,Corporate Accounting and Reporting,FNA1002 or ACC1002,BH3111 or BZ3101 or BK3106 or FNA3111
5,ACC3603,Assurance and Attestation,FNA1002/ACC1002 and FNA2002 (Students who are not enrolled in the accounting or accounting-specialization program should seek Deans Office permission to read the module),Students who have passed FNA3121 are not allowed to take ACC3603.
6,ACC3604,Corporate and Securities Law,BSP1004,Students who have passed FNA3122 or LL4055 are not allowed to take ACC3604.
7,ACC3605,Taxation,FNA1002/ACC1002 and BSP1004,Students who have passed FNA3127 or LL4056 are not allowed to take ACC3605.
8,ACC3606,Advanced Corporate Accounting and Reporting,FNA3111 or ACC3601,Students who have passed FNA3123 are not allowed to take ACC3606.
9,ACC3613,Advanced Assurance and Attestation,FNA3121 or ACC3603,Students who have passed FNA3128 are not allowed to take ACC3613.
10,ACC3614,Valuation,FNA2004 or FIN2004,Students who have passed FNA3126 are not allowed to take ACC3614.
11,ACC3616,Corporate Governance and Risk Management,"ACC1002 Financial Accounting, BSP1004 Legal
Environment of Business, FIN2004 Finance","ACC3611 Corporate Governance and Ethics
ACC3612 Risk Management and Internal Control
Only available to BBA and BBA(Acc) students from the
AY2014-15 intake and later"
12,ACC3619,Integrated Perspective in Accounting and Business,"Completed or concurrently taking the following:
(a) All BBA (Acc) core modules; and
(b) all other compulsory accounting modules",
13,ACC4611,Advanced Taxation,,Students who have passed FNA4114 are not allowed to take ACC4611.
14,ACC4614,NOT FOUND,,
15,ACC5001,Business Analysis and Valuation,,
16,BSP1004,Legal Environment Of Business,,SSB2212 or BH1004 or BZ1004 or BK1006 or GEK1009 or GEM1009k or SSD1203 or BSP1004A or BSP1004B
17,BSP1005,Managerial Economics,,BH1005 or BZ1006 or BK1008 or All Econs major students.
18,BSP2001,Macro And International Economics,BSP1005 or BH1005 or BZ1006 or BK1008,(BH2001 or BZ2001 or EC1101 or EC1101E or EC1310 or EC1301 or EC3341 or EC4102 or All Econs major students) and All BBA(Acc) students. EC2102.
